ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,Sedan,90000,Manual,TATA,2016,285000,Third Party,5 Seats,Second Owner,1193,17.57,88.7,Delhi,9
Petrol,Sedan,80000,Automatic,HONDA,2010,300000,Third Party,5 Seats,Second Owner,1497,16.8,116.37,Delhi,15
Petrol,Hatchback,40462,Manual,HYUNDAI,2011,185000,Comprehensive,5 Seats,Second Owner,1086,20.86690034,62,Delhi,14
Petrol,Hatchback,40000,Manual,MARUTI,2018,525000,Comprehensive,5 Seats,First Owner,1197,22,81.8,Delhi,7
Diesel,Sedan,150000,Manual,MARUTI,2013,375000,Third Party,5 Seats,First Owner,1248,23.4,74,Delhi,12
Petrol,Sedan,47761,Manual,HYUNDAI,2020,1012000,Comprehensive,5 Seats,First Owner,1497,17.7,113.18,Delhi,5
Diesel,SUV,80488,Manual,HYUNDAI,2020,1350000,Third Party,5 Seats,First Owner,1493,18.89352172,113.45,Delhi,5
Cng,Hatchback,70000,Manual,MARUTI,2020,400000,Third Party,4 Seats,First Owner,998,31.2,58.33,Delhi,5
Diesel,SUV,17204,Manual,TATA,2022,1930000,Comprehensive,7 Seats,First Owner,1956,16.14,167.67,Delhi,3
Petrol,Hatchback,66000,Automatic,HYUNDAI,2017,525000,Comprehensive,5 Seats,First Owner,1197,18.9,81.86,Delhi,8
Petrol,Hatchback,41900,Manual,RENAULT,2019,425000,Comprehensive,5 Seats,First Owner,799,25.17,53.3,Delhi,6
Petrol,Hatchback,45000,Manual,HYUNDAI,2019,525000,Comprehensive,5 Seats,First Owner,1197,18.9,81.86,Delhi,6
Petrol,Hatchback,52000,Manual,VOLKSWAGEN,2013,375000,Comprehensive,5 Seats,First Owner,1198,16.47,74,Delhi,12
Diesel,SUV,40000,Automatic,HYUNDAI,2021,2100000,Third Party,7 Seats,First Owner,1493,18.1,113.42,Delhi,4
Petrol,Sedan,64000,Manual,HONDA,2015,410000,Comprehensive,5 Seats,First Owner,1198,18,86.7,Delhi,10
Cng,SUV,76500,Manual,MAHINDRA,2018,435000,Third Party,6 Seats,First Owner,1198,18.15,82,Delhi,7
Petrol,Sedan,48000,Manual,HONDA,2016,645000,Third Party,5 Seats,First Owner,1497,17.8,117.3,Delhi,9
Petrol,SUV,42000,Automatic,TATA,2019,775000,Comprehensive,5 Seats,First Owner,1198,17,108.5,Delhi,6
Petrol,SUV,50000,Manual,RENAULT,2014,375000,Comprehensive,5 Seats,Second Owner,1598,13.24,102.57,Delhi,11
Petrol,SUV,55000,Manual,FORD,2017,650000,Comprehensive,5 Seats,Second Owner,1496,15.9,120.69,Delhi,8
Petrol,Sedan,90000,Manual,VOLKSWAGEN,2010,205000,Third Party,5 Seats,Second Owner,1598,15.04,103.6,Delhi,15
Petrol,Sedan,72000,Automatic,MERCEDES-BENZ,2015,2390000,Comprehensive,5 Seats,First Owner,1991,12,181.03,Delhi,10
Petrol,SUV,33091,Manual,MAHINDRA,2018,529000,Zero Dep,6 Seats,Second Owner,1198,18.15,82,Delhi,7
Petrol,Hatchback,40838,Manual,RENAULT,2018,300000,Third Party,5 Seats,First Owner,799,22.25,53.26,Delhi,7
Petrol,Sedan,56000,Automatic,MERCEDES-BENZ,2015,2400000,Comprehensive,5 Seats,First Owner,1796,11.74,186,Delhi,10
Diesel,MUV,71914,Manual,TOYOTA,2018,1678000,Comprehensive,7 Seats,First Owner,2393,14.52978523,147.51,Delhi,7
Petrol,Hatchback,67043,Manual,MARUTI,2017,499000,Comprehensive,5 Seats,First Owner,1197,22.38,88.5,Delhi,8
Petrol,SUV,18000,Automatic,MINI,2021,3275000,Comprehensive,5 Seats,First Owner,1998,14.34,189.08,Delhi,4
Petrol,Sedan,100010,Manual,TOYOTA,2011,207000,Comprehensive,5 Seats,First Owner,1496,17.6,88.7,Delhi,14
Petrol,Hatchback,70000,Automatic,MARUTI,2016,390000,Third Party,5 Seats,Second Owner,998,23.1,67.04,Delhi,9
Petrol,Sedan,56857,Manual,HONDA,2015,603000,Comprehensive,5 Seats,First Owner,1497,17.4,117.3,Delhi,10
Petrol,Sedan,120000,Automatic,TOYOTA,2014,1400000,Third Party,5 Seats,First Owner,2494,19.16,158.2,Delhi,11
Diesel,SUV,92000,Automatic,MERCEDES-BENZ,2015,3150000,Third Party,7 Seats,First Owner,2987,11.3,254.8,Delhi,10
Diesel,Sedan,45000,Automatic,MERCEDES-BENZ,2019,5000000,Comprehensive,5 Seats,First Owner,1950,16.1,191.7,Delhi,6
Diesel,MUV,68000,Automatic,TOYOTA,2019,1725000,Zero Dep,8 Seats,First Owner,2393,11.36,171.5,Delhi,6
Petrol,SUV,36000,Automatic,MERCEDES-BENZ,2020,5240000,Comprehensive,5 Seats,First Owner,1991,12.74,197,Delhi,5
Petrol,Sedan,67000,Automatic,BMW,2012,1600000,Comprehensive,5 Seats,Second Owner,2993,8.45,321,Delhi,13
Petrol,Sedan,37000,Manual,TOYOTA,2017,1250000,Comprehensive,5 Seats,First Owner,1798,14.28,138.03,Delhi,8
Petrol,SUV,9150,Automatic,MG,2021,1925000,Comprehensive,6 Seats,First Owner,1451,16.56,141,Delhi,4
Diesel,Hatchback,100000,Manual,HYUNDAI,2012,250000,Third Party,5 Seats,Third Owner,1396,23,88.76,Delhi,13
Petrol,Sedan,10000,Automatic,HONDA,2022,935000,Third Party,5 Seats,First Owner,1199,18.3,88.5,Delhi,3
Cng,MUV,116059,Manual,MARUTI,2013,551000,Third Party,7 Seats,First Owner,1462,26.11,86.63,Delhi,12
Petrol,Hatchback,18254,Manual,MARUTI,2022,506000,Comprehensive,5 Seats,First Owner,1197,20.89,81.8,Delhi,3
Diesel,SUV,61200,Automatic,LAND ROVER,2016,6300000,Comprehensive,5 Seats,First Owner,2993,12.65,255,Delhi,9
Petrol,Sedan,108133,Manual,HONDA,2016,422000,Zero Dep,5 Seats,First Owner,1198,18,86.7,Delhi,9
Petrol,MUV,66198,Manual,MARUTI,2014,631000,Comprehensive,7 Seats,First Owner,1462,20.51,101.65,Delhi,11
Petrol,Hatchback,49000,Manual,MARUTI,2017,590000,Third Party,5 Seats,First Owner,1197,21.01,81.8,Delhi,8
Petrol,Hatchback,89733,Automatic,HYUNDAI,2017,499000,Zero Dep,5 Seats,First Owner,1197,18.9,81.86,Delhi,8
Petrol,Hatchback,20000,Automatic,MARUTI,2022,785000,Third Party,5 Seats,First Owner,1197,22.56,88.5,Delhi,3
Diesel,Hatchback,90360,Manual,HYUNDAI,2014,325000,Comprehensive,5 Seats,Second Owner,1396,21.9,88.76,Delhi,11
Petrol,SUV,44000,Automatic,LAND ROVER,2017,3600000,Comprehensive,5 Seats,First Owner,1999,12.63,177,Delhi,8
Petrol,Sedan,26000,Automatic,TOYOTA,2020,925000,Comprehensive,5 Seats,First Owner,1496,17.8,105.94,Delhi,5
Petrol,Sedan,68000,Manual,MARUTI,2016,645000,Third Party,5 Seats,First Owner,1373,20.73,91.1,Delhi,9
Petrol,Sedan,60000,Manual,MARUTI,2018,760000,Third Party,5 Seats,First Owner,1462,21.56,103.25,Delhi,7
Petrol,Sedan,20000,Automatic,BMW,2020,4200000,Comprehensive,5 Seats,First Owner,1998,16.13,254.79,Delhi,5
Petrol,Sedan,8000,Manual,HONDA,2021,1245000,Third Party,5 Seats,First Owner,1497,17.4,117.6,Delhi,4
Diesel,SUV,120000,Manual,RENAULT,2014,500000,Third Party,5 Seats,First Owner,1461,19.01,108.45,Delhi,11
Cng,Hatchback,70000,Manual,MARUTI,2015,280000,Third Party,5 Seats,First Owner,998,26.6,58.16,Delhi,10
Petrol,Sedan,90000,Manual,HONDA,2009,115000,Third Party,5 Seats,Third Owner,1497,17,116.37,Delhi,16
Diesel,SUV,70000,Manual,FORD,2018,600000,Third Party,5 Seats,First Owner,1498,23,98.96,Delhi,7
Diesel,SUV,70000,Manual,TATA,2021,1650000,Third Party,5 Seats,First Owner,1956,16.35,167.67,Delhi,4
Petrol,SUV,14445,Manual,HYUNDAI,2021,853000,Zero Dep,5 Seats,Second Owner,998,18.27,118.35,Delhi,4
Petrol,SUV,29847,Automatic,TATA,2019,861000,Zero Dep,5 Seats,Second Owner,1198,17,108.5,Delhi,6
Petrol,Sedan,80000,Manual,VOLKSWAGEN,2011,275000,Third Party,5 Seats,Second Owner,1598,15.04,103.6,Delhi,14
Petrol,Hatchback,88443,Automatic,HYUNDAI,2014,418000,Comprehensive,5 Seats,First Owner,1197,18.9,82,Delhi,11
Petrol,Hatchback,82892,Manual,HYUNDAI,2011,190000,Third Party,5 Seats,Second Owner,1197,20.36,78.9,Delhi,14
Diesel,SUV,14500,Automatic,MAHINDRA,2023,1850000,Third Party,4 Seats,First Owner,2184,15.54314181,130,Delhi,2
Petrol,Hatchback,59549,Manual,HYUNDAI,2015,519000,Comprehensive,5 Seats,First Owner,1197,17.19,81.86,Delhi,10
Cng,Hatchback,70000,Manual,MARUTI,2015,320000,Third Party,5 Seats,First Owner,998,26.6,58.16,Delhi,10
Cng,Hatchback,64228,Manual,MARUTI,2019,501000,Zero Dep,5 Seats,Second Owner,998,33.54,67.04,Delhi,6
Petrol,Hatchback,10000,Manual,MARUTI,2022,700000,Third Party,5 Seats,First Owner,1197,22.38,88.5,Delhi,3
Diesel,SUV,60000,Manual,FORD,2018,600000,Third Party,5 Seats,Second Owner,1498,23,98.96,Delhi,7
Petrol,SUV,32000,Automatic,TATA,2018,675000,Third Party,5 Seats,First Owner,1198,17,108.5,Delhi,7
Petrol,Hatchback,20000,Manual,MARUTI,2019,550000,Third Party,5 Seats,First Owner,1197,21.21,81.8,Delhi,6
Cng,Hatchback,65000,Manual,MARUTI,2016,345000,Comprehensive,5 Seats,First Owner,998,33.54,67.04,Delhi,9
Cng,Hatchback,23900,Manual,MARUTI,2021,541000,Comprehensive,5 Seats,First Owner,998,33.54,67.04,Delhi,4
Petrol,Hatchback,2900,Manual,MARUTI,2023,430000,Comprehensive,5 Seats,First Owner,998,24.39,65.71,Delhi,2
Petrol,SUV,15000,Manual,HYUNDAI,2022,860000,Comprehensive,5 Seats,First Owner,1197,20.32870617,81.8,Delhi,3
Petrol,Hatchback,11200,Manual,HYUNDAI,2022,530000,Comprehensive,5 Seats,First Owner,1086,20.3,68.05,Delhi,3
Electric,SUV,17000,Automatic,TATA,2023,1423000,Comprehensive,5 Seats,First Owner,0,26.13247571,127,Delhi,2
Petrol,SUV,1900,Manual,KIA,2023,1070000,Comprehensive,5 Seats,First Owner,998,18.2,118.36,Delhi,2
Petrol,Hatchback,70098,Manual,HYUNDAI,2010,173000,Comprehensive,5 Seats,First Owner,1197,20.36,78.9,Delhi,15
Petrol,SUV,30498,Manual,NISSAN,2021,707000,Comprehensive,5 Seats,First Owner,999,18.75,71.02,Delhi,4
Petrol,Sedan,33000,Automatic,HONDA,2021,820000,Comprehensive,5 Seats,First Owner,1199,18.3,88.5,Delhi,4
Petrol,SUV,7243,Manual,RENAULT,2021,828000,Third Party,5 Seats,First Owner,999,20.5,98.63,Delhi,4
Petrol,SUV,7867,Manual,MARUTI,2023,1255000,Comprehensive,5 Seats,First Owner,1462,19.89,101.65,Delhi,2
Diesel,SUV,110000,Manual,MARUTI,2018,690000,Third Party,5 Seats,Second Owner,1248,24.3,88.5,Delhi,7
Petrol,MUV,49650,Manual,RENAULT,2022,616000,Comprehensive,7 Seats,First Owner,999,20,71.01,Delhi,3
Diesel,SUV,5301,Manual,TATA,2022,2099000,Comprehensive,6 Seats,First Owner,1956,16.14,167.67,Delhi,3
Petrol,SUV,21366,Manual,HYUNDAI,2019,800000,Comprehensive,5 Seats,First Owner,998,18.27,118.35,Delhi,6
Diesel,SUV,40099,Automatic,JEEP,2021,2450000,Comprehensive,5 Seats,First Owner,1956,14.9,167.67,Delhi,4
Diesel,Sedan,100000,Manual,FORD,2015,315000,Third Party,5 Seats,First Owner,1498,25.83,99,Delhi,10
Diesel,Sedan,100000,Manual,FORD,2015,315000,Third Party,5 Seats,First Owner,1498,25.83,99,Delhi,10
Petrol,Sedan,48000,Manual,HONDA,2015,650000,Comprehensive,5 Seats,First Owner,1497,17.4,117.3,Delhi,10
Diesel,SUV,29000,Automatic,MERCEDES-BENZ,2020,7800000,Comprehensive,5 Seats,First Owner,1950,16.6777133,241.38,Delhi,5
Cng,Hatchback,120000,Manual,MARUTI,2017,310000,Third Party,5 Seats,First Owner,998,26.6,58.16,Delhi,8
Petrol,SUV,58000,Automatic,TATA,2019,825000,Third Party,5 Seats,First Owner,1198,17,108.5,Delhi,6
Petrol,Sedan,58000,Manual,HONDA,2016,485000,Comprehensive,5 Seats,First Owner,1198,17.8,86.7,Delhi,9
Petrol,Sedan,50000,Manual,HONDA,2015,350000,Third Party,5 Seats,First Owner,1198,18,86.7,Delhi,10
Petrol,Sedan,32000,Automatic,HONDA,2019,795000,Comprehensive,5 Seats,First Owner,1199,18.1,88.7,Delhi,6
Diesel,Sedan,9900,Automatic,BMW,2020,4090000,Comprehensive,5 Seats,First Owner,1995,20.37,187.74,Delhi,5
Petrol,Hatchback,3721,Manual,MARUTI,2017,470000,Third Party,5 Seats,First Owner,1197,20.4,83.11,Delhi,8
Petrol,Hatchback,16564,Manual,HYUNDAI,2020,625000,Comprehensive,5 Seats,First Owner,1197,20.7,81.86,Delhi,5
Diesel,SUV,34000,Automatic,BMW,2019,7290000,Comprehensive,5 Seats,First Owner,2993,13.38,261.5,Delhi,6
Petrol,SUV,15992,Manual,TATA,2022,794000,Comprehensive,5 Seats,First Owner,1199,20.09,86.63,Delhi,3
Petrol,Hatchback,91380,Manual,MARUTI,2015,266000,Comprehensive,5 Seats,First Owner,998,23.95,67.05,Delhi,10
Petrol,Sedan,50000,Automatic,MERCEDES-BENZ,2017,2390000,Comprehensive,5 Seats,First Owner,1991,15.04,183,Delhi,8
Petrol,Hatchback,47231,Manual,MARUTI,2017,296000,Comprehensive,5 Seats,Second Owner,998,24.39,65.71,Delhi,8
Diesel,SUV,20500,Automatic,TOYOTA,2018,3090000,Comprehensive,7 Seats,First Owner,2982,12.9,174.5,Delhi,7
Diesel,SUV,89908,Manual,MARUTI,2018,607000,Third Party,5 Seats,First Owner,1248,24.3,88.5,Delhi,7
Diesel,SUV,60000,Automatic,MERCEDES-BENZ,2018,4000000,Comprehensive,5 Seats,First Owner,2143,17.9,170,Delhi,7
Diesel,SUV,34000,Automatic,BMW,2018,2750000,Comprehensive,5 Seats,First Owner,1995,20.68,188,Delhi,7
Petrol,Hatchback,30000,Manual,TOYOTA,2022,740000,Third Party,5 Seats,First Owner,1197,22.35,88.5,Delhi,3
Diesel,Hatchback,120000,Manual,FIAT,2013,115000,Third Party,5 Seats,First Owner,1248,20.3,75,Delhi,12
Petrol,Hatchback,99100,Manual,HYUNDAI,2010,167000,Third Party,5 Seats,First Owner,1086,19.81,68.05,Delhi,15
Petrol,SUV,22000,Automatic,JEEP,2019,1475000,Comprehensive,5 Seats,First Owner,1368,16,160,Delhi,6
Diesel,SUV,22120,Automatic,BMW,2017,1995000,Third Party,5 Seats,First Owner,1995,20.68,188,Delhi,8
Diesel,SUV,30120,Manual,MAHINDRA,2020,1265000,Comprehensive,7 Seats,First Owner,2179,15.56738479,152.87,Delhi,5
Petrol,MUV,4000,Automatic,RENAULT,2023,835000,Comprehensive,7 Seats,First Owner,999,18.2,71.01,Delhi,2
Diesel,SUV,14800,Manual,HYUNDAI,2021,1095000,Comprehensive,5 Seats,First Owner,1493,23.7,98.6,Delhi,4
Petrol,Sedan,8120,Automatic,HONDA,2020,1950000,Comprehensive,5 Seats,First Owner,1799,16.5,139.46,Delhi,5
Petrol,Hatchback,54650,Manual,HYUNDAI,2012,309000,Comprehensive,5 Seats,First Owner,1197,18.5,82.85,Delhi,13
Petrol,Hatchback,99343,Manual,HYUNDAI,2010,205000,Comprehensive,5 Seats,First Owner,1086,19.81,68.05,Delhi,15
Diesel,SUV,22800,Manual,JEEP,2020,1699000,Comprehensive,5 Seats,First Owner,1956,17.1,170,Delhi,5
Petrol,Hatchback,37961,Manual,MARUTI,2014,303000,Comprehensive,5 Seats,Second Owner,998,20.51,67.04,Delhi,11
Petrol,Hatchback,76751,Manual,MARUTI,2016,264000,Third Party,5 Seats,Second Owner,998,24.39,65.71,Delhi,9
Petrol,SUV,6000,Automatic,MAHINDRA,2022,2395000,Comprehensive,6 Seats,First Owner,1997,16.44982928,200,Delhi,3
Petrol,SUV,24788,Automatic,MG,2021,1541000,Comprehensive,5 Seats,First Owner,1349,14.34,138.08,Delhi,4
Petrol,SUV,90000,Automatic,MITSUBISHI,2010,400000,Third Party,5 Seats,Second Owner,2360,11.3,167.65,Delhi,15
Petrol,Hatchback,70036,Manual,MARUTI,2017,308000,Comprehensive,5 Seats,First Owner,998,24.39,65.71,Delhi,8
Diesel,SUV,45500,Manual,MAHINDRA,2019,1000000,Comprehensive,7 Seats,Second Owner,2179,16,138,Delhi,6
Petrol,SUV,16000,Automatic,AUDI,2022,5700000,Comprehensive,5 Seats,First Owner,1984,13.47,245.59,Delhi,3
Petrol,Hatchback,75000,Manual,HYUNDAI,2012,240000,Third Party,5 Seats,First Owner,1197,17,78.9,Delhi,13
Petrol,Sedan,19000,Automatic,MERCEDES-BENZ,2012,2450000,Third Party,5 Seats,First Owner,2987,10.13,364.9,Delhi,13
Diesel,Hatchback,40000,Automatic,MERCEDES-BENZ,2014,1290000,Comprehensive,5 Seats,Second Owner,2143,20,107.3,Delhi,11
Petrol,Sedan,20000,Automatic,JAGUAR,2019,3250000,Third Party,5 Seats,First Owner,1999,13.5,246.74,Delhi,6
Petrol,Sedan,61000,Automatic,HONDA,2013,440000,Comprehensive,5 Seats,Second Owner,1497,15.6,116.3,Delhi,12
Diesel,MUV,126000,Manual,TOYOTA,2013,670000,Third Party,7 Seats,First Owner,2494,12.99,100,Delhi,12
Petrol,Sedan,30000,Automatic,MARUTI,2018,800000,Third Party,5 Seats,First Owner,1373,19.12,91.1,Delhi,7
Petrol,MUV,77293,Manual,MARUTI,2019,921000,Third Party,7 Seats,First Owner,1462,19.34,103,Delhi,6
Petrol,Sedan,110000,Manual,MARUTI,2013,310000,Third Party,5 Seats,First Owner,1197,19.1,85.8,Delhi,12
Petrol,Hatchback,25502,Manual,MARUTI,2019,358000,Comprehensive,5 Seats,First Owner,998,24.39,65.71,Delhi,6
Petrol,Hatchback,57120,Automatic,MARUTI,2016,390000,Comprehensive,5 Seats,First Owner,998,26,65.71,Delhi,9
Diesel,MUV,97000,Automatic,TOYOTA,2016,1350000,Comprehensive,8 Seats,First Owner,2393,11.36,171.5,Delhi,9
Petrol,Hatchback,51868,Manual,MARUTI,2017,345000,Third Party,5 Seats,First Owner,998,20.51,67.04,Delhi,8
Petrol,Hatchback,52725,Manual,HYUNDAI,2010,208000,Comprehensive,5 Seats,First Owner,1197,20.36,78.9,Delhi,15
Diesel,Hatchback,50000,Manual,MARUTI,2014,320000,Third Party,5 Seats,First Owner,1248,25.2,74,Delhi,11
Petrol,Hatchback,84929,Manual,HYUNDAI,2012,210000,Comprehensive,5 Seats,First Owner,1197,20.36,78.9,Delhi,13
Petrol,SUV,42000,Manual,HONDA,2017,675000,Third Party,5 Seats,First Owner,1199,17.5,88.7,Delhi,8
Petrol,MUV,21515,Automatic,MARUTI,2019,1100000,Comprehensive,6 Seats,First Owner,1462,20.27,101.65,Delhi,6
Diesel,Sedan,50000,Automatic,AUDI,2015,1200000,Third Party,5 Seats,Second Owner,1968,17.68,174.33,Delhi,10
Petrol,SUV,42000,Automatic,MERCEDES-BENZ,2020,5200000,Comprehensive,5 Seats,First Owner,1991,12.74,197,Delhi,5
Petrol,Hatchback,53000,Manual,TATA,2019,440000,Comprehensive,5 Seats,First Owner,1199,23.84,84,Delhi,6
Petrol,Hatchback,71000,Automatic,MARUTI,2016,385000,Third Party,5 Seats,First Owner,998,23.1,67.04,Delhi,9
Petrol,Sedan,48000,Automatic,HONDA,2019,720000,Comprehensive,5 Seats,First Owner,1199,18.1,88.7,Delhi,6
Petrol,Hatchback,56000,Manual,MARUTI,2018,540000,Comprehensive,5 Seats,First Owner,1197,21.4,83.1,Delhi,7
Diesel,SUV,60000,Manual,MARUTI,2018,825000,Third Party,5 Seats,First Owner,1248,24.3,88.5,Delhi,7
Petrol,Hatchback,50000,Manual,TATA,2021,720000,Third Party,5 Seats,First Owner,1199,19.33,86.83,Delhi,4
Cng,Hatchback,120000,Manual,MARUTI,2016,230000,Third Party,5 Seats,First Owner,998,26.6,58.16,Delhi,9
Petrol,Hatchback,50000,Manual,MARUTI,2011,200000,Third Party,5 Seats,Second Owner,1197,18.5,85.8,Delhi,14
Cng,MUV,30000,Manual,MARUTI,2022,1160000,Third Party,7 Seats,First Owner,1462,26.11,86.63,Delhi,3
Petrol,Hatchback,3819,Manual,MARUTI,2023,723000,Third Party,5 Seats,First Owner,1197,22.38,88.5,Delhi,2
Petrol,Hatchback,7825,Automatic,HYUNDAI,2020,806000,Zero Dep,5 Seats,First Owner,1197,19.65,86.8,Delhi,5
Petrol,Sedan,70000,Manual,HONDA,2016,700000,Third Party,5 Seats,Second Owner,1497,17.8,117.3,Delhi,9
Petrol,Hatchback,27436,Automatic,MARUTI,2019,507000,Zero Dep,5 Seats,First Owner,998,23.1,67.04,Delhi,6
Petrol,MUV,40673,Manual,MARUTI,2013,499000,Comprehensive,7 Seats,First Owner,1373,16.02,93.7,Delhi,12
Diesel,Sedan,60000,Manual,HYUNDAI,2022,1300000,Third Party,5 Seats,First Owner,1493,25,113.45,Delhi,3
Petrol,Hatchback,33100,Automatic,MARUTI,2018,639000,Third Party,5 Seats,First Owner,1197,22.56,88.5,Delhi,7
Petrol,Sedan,80000,Manual,MARUTI,2009,130000,Third Party,5 Seats,Second Owner,1586,15,104.68,Delhi,16
Petrol,Hatchback,57929,Manual,MARUTI,2019,331000,Zero Dep,5 Seats,First Owner,998,24.39,65.71,Delhi,6
Petrol,Hatchback,8500,Manual,HYUNDAI,2022,790000,Comprehensive,5 Seats,First Owner,1197,21,81.8,Delhi,3
Petrol,Sedan,60000,Manual,HONDA,2011,376000,Third Party,5 Seats,First Owner,1497,17,116.37,Delhi,14
Diesel,Sedan,40000,Automatic,MERCEDES-BENZ,2018,2650000,Third Party,5 Seats,First Owner,2143,17.9,136,Delhi,7
Petrol,Hatchback,120000,Manual,MARUTI,2013,310000,Third Party,5 Seats,Second Owner,1197,18.6,85.8,Delhi,12
Diesel,Sedan,40000,Automatic,MERCEDES-BENZ,2018,2650000,Third Party,5 Seats,First Owner,2143,17.9,136,Delhi,7
Petrol,SUV,76000,Automatic,MITSUBISHI,2011,570000,Comprehensive,5 Seats,First Owner,2360,11.3,167.65,Delhi,14
Cng,MUV,35000,Manual,MARUTI,2021,1065000,Comprehensive,7 Seats,First Owner,1462,26.08,91.19,Delhi,4
Petrol,Sedan,19681,Manual,HONDA,2015,570000,Third Party,5 Seats,First Owner,1497,17.4,117.3,Delhi,10
Petrol,Sedan,68866,Manual,FORD,2012,150000,Third Party,5 Seats,Second Owner,1596,14.09,99.6,Delhi,13
Diesel,SUV,100000,Manual,MARUTI,2018,690000,Third Party,5 Seats,Second Owner,1248,24.3,88.5,Delhi,7
Petrol,Sedan,70000,Automatic,MARUTI,2016,550000,Third Party,5 Seats,Second Owner,1373,19.12,91.1,Delhi,9
Petrol,Hatchback,53338,Automatic,MARUTI,2016,419000,Comprehensive,5 Seats,First Owner,998,26,65.71,Delhi,9
Petrol,Sedan,41558,Manual,HONDA,2017,506000,Third Party,5 Seats,First Owner,1198,17.8,86.7,Delhi,8
Petrol,Hatchback,10000,Manual,MARUTI,2011,130000,Third Party,5 Seats,Second Owner,796,19.7,46.3,Delhi,14
Petrol,Hatchback,25403,Manual,MARUTI,2017,528000,Comprehensive,5 Seats,Second Owner,1197,21.4,83.1,Delhi,8
Petrol,Sedan,52800,Manual,HONDA,2014,608000,Third Party,5 Seats,First Owner,1497,17.4,117.3,Delhi,11
Diesel,MUV,60000,Manual,TOYOTA,2019,1750000,Third Party,7 Seats,First Owner,2393,13.68,147.51,Delhi,6
Petrol,Hatchback,92543,Manual,MARUTI,2012,300000,Comprehensive,5 Seats,First Owner,1197,22,81.8,Delhi,13
Diesel,Sedan,28000,Automatic,AUDI,2015,1500000,Comprehensive,5 Seats,First Owner,1968,17.68,174.33,Delhi,10
Petrol,Hatchback,95525,Manual,HYUNDAI,2011,178000,Comprehensive,5 Seats,Second Owner,1197,20.36,78.9,Delhi,14
Diesel,SUV,3200,Manual,KIA,2020,1325000,Comprehensive,5 Seats,First Owner,1493,20.8,113.43,Delhi,5
Petrol,MUV,9000,Automatic,TOYOTA,2022,2600000,Comprehensive,7 Seats,First Owner,2393,8,163.6,Delhi,3
Diesel,SUV,31000,Automatic,JEEP,2022,3100000,Comprehensive,5 Seats,First Owner,1956,14.9,167.67,Delhi,3
Petrol,SUV,23000,Manual,MARUTI,2022,945000,Comprehensive,5 Seats,First Owner,1462,17.38,101.65,Delhi,3
Petrol,Hatchback,2700,Manual,MARUTI,2023,700000,Comprehensive,5 Seats,First Owner,1197,22.38,88.5,Delhi,2
Petrol,Hatchback,30000,Manual,HYUNDAI,2015,399000,Comprehensive,5 Seats,First Owner,1197,18.9,82,Delhi,10
Petrol,SUV,130000,Automatic,FORD,2017,556000,Third Party,5 Seats,Second Owner,1497,14.8,121.36,Delhi,8
Diesel,SUV,60000,Manual,MAHINDRA,2016,895000,Third Party,7 Seats,First Owner,1997,16,140,Delhi,9
Petrol,Hatchback,12400,Manual,CHEVROLET,2009,89999,Comprehensive,5 Seats,Second Owner,995,18,62,Delhi,16
Diesel,Hatchback,79000,Manual,VOLKSWAGEN,2014,333000,Third Party,5 Seats,Second Owner,1498,20.14,88.8,Delhi,11
Petrol,Sedan,32000,Automatic,HONDA,2020,1400000,Comprehensive,5 Seats,Third Owner,1799,16.5,139.46,Delhi,5
Petrol,Hatchback,39368,Manual,VOLKSWAGEN,2011,324000,Comprehensive,5 Seats,First Owner,1198,16.47,73.9,Delhi,14
Petrol,Hatchback,49597,Manual,HYUNDAI,2013,359000,Comprehensive,5 Seats,First Owner,1197,18.5,82.9,Delhi,12
Petrol,Sedan,70000,Automatic,MERCEDES-BENZ,2011,950000,Comprehensive,5 Seats,Second Owner,1796,12.3,185,Delhi,14
Petrol,Hatchback,34174,Automatic,MARUTI,2016,348000,Comprehensive,5 Seats,First Owner,998,23.95,67.05,Delhi,9
Petrol,Hatchback,11171,Manual,MARUTI,2021,532000,Zero Dep,5 Seats,First Owner,1197,20.89,81.8,Delhi,4
Diesel,SUV,68000,Automatic,AUDI,2014,1925000,Third Party,7 Seats,First Owner,2967,12.07,241.4,Delhi,11
Petrol,Sedan,62545,Manual,HONDA,2010,228000,Third Party,5 Seats,First Owner,1497,17,116.37,Delhi,15
Petrol,Hatchback,94480,Manual,MARUTI,2016,295000,Comprehensive,5 Seats,First Owner,998,21.79,67.05,Delhi,9
Petrol,Hatchback,19299,Manual,MARUTI,2017,297000,Comprehensive,5 Seats,First Owner,796,22.05,47.33,Delhi,8
Petrol,Sedan,60000,Manual,HONDA,2010,350000,Third Party,5 Seats,First Owner,1497,17,116.37,Delhi,15
Diesel,SUV,34000,Automatic,HYUNDAI,2017,1000000,Third Party,5 Seats,Second Owner,1582,17.01,126.2,Delhi,8
Petrol,Hatchback,30000,Manual,TATA,2020,360000,Third Party,5 Seats,First Owner,1199,19.01,84.82,Delhi,5
Diesel,SUV,55000,Automatic,AUDI,2017,1850000,Third Party,5 Seats,First Owner,1968,14.16,174.3,Delhi,8
Petrol,Sedan,120000,Automatic,MARUTI,2020,580000,Third Party,5 Seats,First Owner,1197,21.21,81.8,Delhi,5
