ft,bt,km,transmission,oem,modelYear,price,Insurance Validity,Seats,Ownership,Engine Displacement,Mileage,Max Power,City,Car age
Petrol,SUV,18000,Automatic,MG,2021,2075000,Comprehensive,6 Seats,First Owner,1451,16.56,141,Bangalore,4
Petrol,Hatchback,38197,Manual,HONDA,2013,394000,Third Party,5 Seats,First Owner,1198,19.4,86.8,Bangalore,12
Petrol,Hatchback,23000,Automatic,MARUTI,2017,725000,Comprehensive,5 Seats,Second Owner,1197,19.56,81.8,Bangalore,8
Petrol,Hatchback,50000,Manual,MARUTI,2013,240000,Third Party,5 Seats,First Owner,998,20.92,67.1,Bangalore,12
Petrol,SUV,10000,Automatic,RENAULT,2022,835000,Third Party,5 Seats,First Owner,999,19.03,71.01,Bangalore,3
Petrol,Hatchback,19000,Manual,HYUNDAI,2019,695000,Third Party,5 Seats,First Owner,1197,18.9,81.86,Bangalore,6
Petrol,SUV,14000,Automatic,KIA,2020,1725000,Comprehensive,5 Seats,First Owner,1353,16.5,138.08,Bangalore,5
Petrol,Hatchback,29268,Manual,HYUNDAI,2014,330000,Comprehensive,5 Seats,First Owner,814,21.1,55.2,Bangalore,11
Petrol,Sedan,20000,Automatic,VOLKSWAGEN,2019,990000,Third Party,5 Seats,First Owner,1197,18.19,103.2,Bangalore,6
Petrol,Sedan,30000,Manual,TOYOTA,2018,750000,Third Party,5 Seats,First Owner,1496,17.1,105.5,Bangalore,7
Petrol,Hatchback,64374,Automatic,HONDA,2018,755000,Third Party,5 Seats,First Owner,1199,19,88.7,Bangalore,7
Diesel,SUV,30000,Manual,MG,2021,1750000,Third Party,5 Seats,First Owner,1956,17.41,167.68,Bangalore,4
Petrol,SUV,7100,Automatic,HYUNDAI,2022,2083000,Comprehensive,6 Seats,First Owner,1999,14.2,156.9,Bangalore,3
Petrol,Hatchback,43679,Manual,HYUNDAI,2010,271000,Comprehensive,5 Seats,First Owner,1086,19.81,68.05,Bangalore,15
Petrol,SUV,40000,Automatic,HYUNDAI,2018,1280000,Third Party,5 Seats,First Owner,1591,14.8,121.3,Bangalore,7
Diesel,Hatchback,40562,Manual,HYUNDAI,2012,436000,Third Party,5 Seats,First Owner,1396,22.54,88.76,Bangalore,13
Petrol,SUV,26500,Automatic,HYUNDAI,2021,1675000,Comprehensive,5 Seats,Second Owner,1397,19.35898695,138.12,Bangalore,4
Petrol,SUV,20000,Automatic,HYUNDAI,2019,1250000,Third Party,5 Seats,First Owner,998,18.15,118.35,Bangalore,6
Diesel,SUV,58600,Automatic,MAHINDRA,2016,1350000,Third Party,7 Seats,First Owner,2179,16,140,Bangalore,9
Petrol,SUV,20000,Automatic,HYUNDAI,2019,1250000,Third Party,5 Seats,First Owner,998,18.15,118.35,Bangalore,6
Petrol,SUV,42050,Automatic,VOLKSWAGEN,2020,2225000,Comprehensive,5 Seats,First Owner,1498,18.4,147.94,Bangalore,5
Petrol,Hatchback,65017,Automatic,MARUTI,2015,475000,Not Available,5 Seats,First Owner,998,23.1,67.04,Bangalore,10
Diesel,Sedan,80000,Automatic,BMW,2008,600000,Third Party,5 Seats,Second Owner,1995,13.2,170,Bangalore,17
Petrol,SUV,30000,Automatic,JEEP,2021,2450000,Third Party,5 Seats,First Owner,1368,14.1,160.77,Bangalore,4
Petrol,SUV,20000,Automatic,KIA,2020,1625000,Third Party,5 Seats,First Owner,1353,16.5,138.08,Bangalore,5
Diesel,Sedan,36349,Automatic,SKODA,2014,1650000,Third Party,5 Seats,First Owner,1968,17.2,138.1,Bangalore,11
Petrol,Hatchback,80000,Manual,HYUNDAI,2009,249000,Third Party,5 Seats,Third Owner,1197,20.36,78.9,Bangalore,16
Petrol,SUV,83394,Manual,RENAULT,2014,630000,Third Party,5 Seats,Second Owner,1598,13.24,102.57,Bangalore,11
Diesel,SUV,30000,Automatic,AUDI,2016,2599000,Third Party,5 Seats,Second Owner,1968,14.16,174.3,Bangalore,9
